"Code","Description","Version"
"10.07","Endoscopy urological/gynaecological","5.0"
"10.08","Endoscopy orthopaedic","5.0"
"10.09","Endoscopy respiratory/ear, nose and throat (ENT)","5.0"
"10.10","Renal dialysis hospital delivered","5.0"
"10.11","Chemotherapy treatment","5.0"
"10.12","Radiation therapy treatment","5.0"
"10.13","Minor medical procedures","5.0"
"10.14","Pain management interventions","5.0"
"10.15","Renal dialysis haemodialysis home delivered","5.0"
"10.16","Renal dialysis peritoneal dialysis home delivered","5.0"
"10.17","Total parenteral nutrition home delivered","5.0"
"10.18","Enteral nutrition home delivered","5.0"
"10.19","Ventilation home delivered","5.0"
"10.20","Radiation therapy simulation and planning","5.0"
"20.01","Transplants","5.0"
"20.02","Anaesthetics","5.0"
"20.03","Pain management","5.0"
"20.04","Developmental disabilities","5.0"
"20.05","General medicine","5.0"
"20.06","General practice and primary care","5.0"
"20.07","General surgery","5.0"
"20.08","Genetics","5.0"
"20.09","Geriatric medicine","5.0"
"20.10","Haematology","5.0"
"20.11","Paediatric medicine","5.0"
"20.12","Paediatric surgery","5.0"
"20.13","Palliative care","5.0"
"20.14","Epilepsy","5.0"
"20.15","Neurology","5.0"
"20.16","Neurosurgery","5.0"
"20.17","Ophthalmology","5.0"
"30.05","Pathology (microbiology, haematology, biochemistry)","5.0"
"30.06","Positron emission tomography (PET)","5.0"
"30.07","Mammography screening","5.0"
"30.08","Clinical measurement","5.0"
"40.02","Aged care assessment","5.0"
"40.03","Aids and appliances","5.0"
"40.04","Clinical pharmacy","5.0"
"026","Adm_T3_Urological illness","1.3"
"027","Adm_T3_RespSys Illness","1.3"
"029","Adm_T3_All other MDB groups","1.3"
"030","Adm_T4_Poisoning/Toxic effects of drugs","1.3"
"031","Adm_T4_RespSys Illness","1.3"
"032","Adm_T4_GastroSys Illness","1.3"
"033","Adm_T4_All other MDB groups","1.3"
"034","Adm_T4_Injury","1.3"
"035","Adm_T4_Psychiatric/Social problem/Other presentation","1.3"
"036","Adm_T5_Psychiatric/Social problem/Other presentation","1.3"
"037","Adm_T5_All other MDB groups","1.3"
"038","Dead on Arrival w any Triage w any MDB","1.3"
"039","NA_T1_All Oth MDB Gps","1.3"
"040","N-A_T2_Tox Effs Drug","1.3"
"042","N-A_T2_Musculoskeletal/connective tissue illness","1.3"
"043","N-A_T2_Circulatory system / Respiratory system illness","1.3"
"044","N-A_T2_Injury","1.3"
"045","N-A_T2_Poisoning","1.3"
"046","N-A_T2_All other MDB groups","1.3"
"048","N-A_T3_Circulatory system illness","1.3"
"050","N-A_T3_Injury","1.3"
"051","NA_T3_Gentitourin Illness","1.3"
"052","NA_T3_GastroSys Illness","1.3"
"053","N-A_T3_Neurological illness","1.3"
"055","NA_T3_RespSys Illness","1.3"
"028","InValid Class","1.4"
"029","Adm_T3_All other MDB groups","1.4"
"030","Adm_T4_Poisoning/Toxic effects of drugs","1.4"
"031","Adm_T4_RespSys Illness","1.4"
"032","Adm_T4_GastroSys Illness","1.4"
"033","Adm_T4_All other MDB groups","1.4"
"034","Adm_T4_Injury","1.4"
"035","Adm_T4_Psychiatric/Social problem/Other presentation","1.4"
"037","Adm_T5_All other MDB groups","1.4"
"038","Dead on Arrival w any Triage w any MDB","1.4"
"039","NA_T1_All Oth MDB Gps","1.4"
"040","N-A_T2_Tox Effs Drug","1.4"
"043","N-A_T2_Circulatory system / Respiratory system illness","1.4"
"044","N-A_T2_Injury","1.4"
"045","N-A_T2_Poisoning","1.4"
"046","N-A_T2_All other MDB groups","1.4"
"048","N-A_T3_Circulatory system illness","1.4"
"050","N-A_T3_Injury","1.4"
"051","NA_T3_Gentitourin Illness","1.4"
"052","NA_T3_GastroSys Illness","1.4"
"053","N-A_T3_Neurological illness","1.4"
"055","NA_T3_RespSys Illness","1.4"
"056","N-A_T3_Musculoskeletal/connective tissue illness","1.4"
"057","N-A_T3_All other MDB groups","1.4"
"058","N-A_T4_Injury","1.4"
"060","N-A_T4_Urosystem illness","1.4"
"061","N-A_T4_Circulatory system / Respiratory system illness","1.4"
"062","NA_T4_GastroSys Illness","1.4"
"063","N-A_T4_Musculoskeletal/connective tissue illness","1.4"
"065","N-A_T4_Illness of the ENT","1.4"
"066","N-A_T4_Illness of the Eyes","1.4"
"067","N-A_T4_Other presentation block","1.4"
"068","N-A_T4_All other MDB groups","1.4"
"069","N-A_T5_Poisoning/Toxic effects of drugs","1.4"
"070","N-A_T5_Injury","1.4"
"071","N-A_T5_Other presentation block","1.4"
"072","N-A_T5_All other MDB groups","1.4"
"073","Did Not Wait","1.4"
"074","Trans present_1, 2","1.4"
"075","Died in ED_triage 1","1.4"
"076","Adm_Planned Ret all Triage","1.4"
"077","N-A Planned Ret Tri 1, 2","1.4"
"078","N-A Planned Ret Tri 3-5","1.4"
"079","Adm_T1_Psych illness","1.4"
"080","Adm_T2_Sys infection","1.4"
"081","Adm_T2_Urolsys illness","1.4"
"082","Adm_T2_Psych illness","1.4"
"083","Adm_T3_Ill of eyes, ENT","1.4"
"084","Adm_T3_Hept syst illness","1.4"
"085","Adm_T3_Psych illness","1.4"
"086","Adm_T4_CircSys Illness","1.4"
"087","Adm_T4_Ill of eyes, ENT","1.4"
"088","Adm_T4_Blood/immsys illness","1.4"
"089","Adm_T4_Gyn/Male sys illness","1.4"
"119","N-A_T5_Genitouri sys illness","1.4"
"120","N-A_T5_Psych illness","1.4"
"121","Transfer - Triage 3","1.4"
"122","Transfer - Triage 4","1.4"
"123","Transfer - Triage 5","1.4"
"124","Died in ED - Triage 2, 3, 4, 5","1.4"
"125","Left at own risk_1, 2","1.4"
"126","Left at own risk_3","1.4"
"127","Left at own risk_4","1.4"
"128","Left at own risk_5","1.4"
"E1","Invalid/missing Episode End Status","1.4"
"E2","Invalid/missing Triage","1.4"
"E3","Blank Diagnosis code","1.4"
"E4","Invalid or unspecified diagnosis classification type","1.4"
"E5","Diagnosis code no Major Diagnostic Block map","1.4"
"E6","Invalid/missing Type of Visit ","1.4"
"E7","Sex code not consistent with diagnosis code","1.4"
"E8","Diagnosis code not recognised","1.4"
"01","Adm_T1","1.3"
"02","Adm_T2","1.3"
"03","Adm_T3","1.3"
"Y02A","SKIN GRAFT OTHER BURNS, MAJC","9.0"
"Y02B","SKIN GRAFT OTHER BURNS, INTC","9.0"
"Y02C","SKIN GRAFT OTHER BURNS, MINC","9.0"
"Y03A","OTH GI FOR OTHER BURNS,MAJC","9.0"
"Y03B","OTH GI FOR OTHER BURNS,MINC","9.0"
"Y60Z","BURNS, TR<5D","9.0"
"Y61Z","SEVERE BURNS","9.0"
"Y62A","OTHER BURNS, MAJC","9.0"
"Y62B","OTHER BURNS, MINC","9.0"
"Z01A","OTH CNT HLTH SRV +GI, MAJC","9.0"
"Z01B","OTH CNT HLTH SRV +GI, MINC","9.0"
"Z40Z","OTH CONTCT HLTH SRV +ENDOSCOPY","9.0"
"Z60A","REHABILITATION, MAJC","9.0"
"Z60B","REHABILITATION, MINC","9.0"
"Z61A","SIGNS & SYMPTOMS, MAJC","9.0"
"Z61B","SIGNS & SYMPTOMS, MINC","9.0"
"Z63A","OTH FLLW UP SURG/MED CARE,MAJC","9.0"
"Z63B","OTH FLLW UP SURG/MED CARE,MINC","9.0"
"Z64A","OTH FACTORS INFL HLTH ST, MAJC","9.0"
"Z64B","OTH FACTORS INFL HLTH ST, MINC","9.0"
"Z65Z","CONGNTL ANML&PROB FR NEO PERD","9.0"
"Z66Z","SLEEP DISORDERS","9.0"
"801A","GI UNREL TO PDX, MAJC","9.0"
"801B","GI UNREL TO PDX, INTC","9.0"
"801C","GI UNREL TO PDX, MINC","9.0"
"E1","Invalid/missing Episode End Status","1.3"
"E2","Invalid/missing Triage","1.3"
"YYYY","Unknown","1"
"40.34-A","Acute Clinical","5.0"
"40.34-C","Consultation to Service Unit not funded from MH Program","5.0"
"40.34-D","Early Intervention – Depression","5.0"
"960Z","UNGROUPABLE","9.0"
"961Z","UNACCEPTABLE PRINCIPAL DX","9.0"
"963Z","NEONATAL DX NOT CONSNT AGE/WGT","9.0"
"40.34-E","Emergency Clinical","5.0"
"40.34-F","Emergency Social","5.0"
"40.34-G","Early Intervention General","5.0"
"40.34-H","Acute - Social","5.0"
"40.34-J","Promotion, Prevention or Early Intervention NOS","5.0"
"40.34-K","Consultation to a Mental Health Service Unit","5.0"
"40.34-M","MH Service not otherwise specified","5.0"
"056","N-A_T3_Musculoskeletal/connective tissue illness","1.3"
"057","N-A_T3_All other MDB groups","1.3"
"058","N-A_T4_Injury","1.3"
"060","N-A_T4_Urosystem illness","1.3"
"061","N-A_T4_Circulatory system / Respiratory system illness","1.3"
"062","NA_T4_GastroSys Illness","1.3"
"063","N-A_T4_Musculoskeletal/connective tissue illness","1.3"
"065","N-A_T4_Illness of the ENT","1.3"
"066","N-A_T4_Illness of the eyes","1.3"
"067","N-A_T4_Other presentation block","1.3"
"068","N-A_T4_All other MDB groups","1.3"
"069","N-A_T5_Poisoning/Toxic effects of drugs","1.3"
"070","N-A_T5_Injury","1.3"
"071","N-A_T5_Other presentation block","1.3"
"072","N-A_T5_All other MDB groups","1.3"
"073","Did Not Wait","1.3"
"074","Transfer presentation","1.3"
"075","Died in emergency department","1.3"
"076","Adm_Return visit, planned w any Triage","1.3"
"077","N-A Return visit, planned – Triage 1, 2, 3","1.3"
"078","N-A Return visit, planned – Triage 4,5","1.3"
"0E1","Er-Epi End Not=1-7","1.3"
"0E2","Er-Tr Not=1-5","1.3"
"0E3","Er-Blank Diag Code","1.3"
"0E4","Error – Invalid or unspecified diagnosis classification type","1.3"
"0E5","Error – Diagnosis code – No MDB map","1.3"
"E1","Er-Epi End Not=1-7","1.3"
"E2","Er-Tr Not=1-5","1.3"
"E3","Er-Blank Diag Code","1.3"
"E4","Error – Invalid or unspecified diagnosis classification type","1.3"
"E5","Error – Diagnosis code – No MDB map","1.3"
"000","InValid Class","1.4"
"001","InValid Class","1.4"
"002","InValid Class","1.4"
"003","Adm_T1_Injury","1.4"
"004","Adm_T1_Poisoning","1.4"
"005","Adm_T1_RespSys Illness","1.4"
"006","Adm_T1_Circulatory system illness","1.4"
"007","Adm_T1_All other MDB groups","1.4"
"008","InValid Class","1.4"
"009","Adm_T2_Poisoning","1.4"
"010","Adm_T2_Injury","1.4"
"011","Adm_T2_GastroSys Illness","1.4"
"012","Adm_T2_RespSys Illness","1.4"
"013","InValid Class","1.4"
"014","Adm_T2_Neurological illness","1.4"
"015","Adm_T2_Toxic effects of drugs","1.4"
"016","Adm_T2_Circulatory system illness","1.4"
"017","Adm_T2_All other MDB groups","1.4"
"018","InValid Class","1.4"
"019","Adm_T3_Blood/Imm syst illness","1.4"
"020","Adm_T3_Injury","1.4"
"021","Adm_T3_Neurological illness","1.4"
"022","Adm_T3_Obstetric/Gynaecological illness","1.4"
"023","Adm_T3_Gastrointestinal system illness","1.4"
"024","Adm_T3_Circulatory system illness","1.4"
"025","Adm_T3_Poisoning/Toxic effects of drugs","1.4"
"026","Adm_T3_Urological illness","1.4"
"027","Adm_T3_RespSys Illness","1.4"
"R61C","LYMPHOMA&N-ACUTE LEUK, MINC","9.0"
"R62A","OTHER NEOPLASTIC DIS, MAJC","9.0"
"R62B","OTHER NEOPLASTIC DIS, INTC","9.0"
"R62C","OTHER NEOPLASTIC DIS, MINC","9.0"
"R63Z","CHEMOTHERAPY","9.0"
"T01A","INFECT&PARAS DIS +GI, MAJC","9.0"
"T01B","INFECT&PARAS DIS +GI, INTC","9.0"
"T01C","INFECT&PARAS DIS +GI, MINC","9.0"
"T40Z","INFECT&PARASTIC DIS +VENT SUPP","9.0"
"T60A","SEPTICAEMIA, MAJC","9.0"
"T60B","SEPTICAEMIA, INTC","9.0"
"T60C","SEPTICAEMIA, MINC","9.0"
"T61A","POSTOP INFECT, MAJC","9.0"
"T61B","POSTOP INFECT, MINC","9.0"
"T62A","FEVER OF UNKNOWN ORIGIN, MAJC","9.0"
"T62B","FEVER OF UNKNOWN ORIGIN, MINC","9.0"
"T63A","VIRAL ILLNESS, MAJC","9.0"
"T63B","VIRAL ILLNESS, MINC","9.0"
"T64A","OTH INFECT&PARASITIC DIS, MAJC","9.0"
"T64B","OTH INFECT&PARASITIC DIS, INTC","9.0"
"T64C","OTH INFECT&PARASITIC DIS, MINC","9.0"
"U40A","MTL HEALTH TREAT+ECT, SD, MAJC","9.0"
"U40B","MTL HEALTH TREAT+ECT, SD, MINC","9.0"
"U60Z","MENTAL HEALTH -ECT, SD","9.0"
"U61A","SCHIZOPHRENIA DISORDERS, MAJC","9.0"
"U61B","SCHIZOPHRENIA DISORDERS, MINC","9.0"
"U62A","PARA&ACUTE PSYCH DIS, MAJC","9.0"
"U62B","PARA&ACUTE PSYCH DIS, MINC","9.0"
"U63A","MAJOR AFFECTIVE DIS, MAJC","9.0"
"U63B","MAJOR AFFECTIVE DIS, MINC","9.0"
"U64A","OTH AFFECT&SOMATOFRM DIS, MAJC","9.0"
"U64B","OTH AFFECT&SOMATOFRM DIS, MINC","9.0"
"U65A","ANXIETY DISORDERS, MAJC","9.0"
"U65B","ANXIETY DISORDERS, MINC","9.0"
"U66A","EATNG&OBSESSV-COMPLSV DIS,MAJC","9.0"
"U66B","EATNG&OBSESSV-COMPLSV DIS,MINC","9.0"
"V62B","ALCOHOL USE & DEPENDENCE, MINC","9.0"
"V63Z","OPIOID USE & DEPENDENCE","9.0"
"V64A","OTH DRUG USE&DEPENDENCE, MAJC","9.0"
"V64B","OTH DRUG USE&DEPENDENCE, MINC","9.0"
"W01A","VENT/TRACH/CRA PR FOR MT, MAJC","9.0"
"W01B","VENT/TRACH/CRA PR FOR MT, INTC","9.0"
"W01C","VENT/TRACH/CRA PR FOR MT, MINC","9.0"
"W02A","HIP,FMR&LWR LMB PR FOR MT,MAJC","9.0"
"W02B","HIP,FMR&LWR LMB PR FOR MT,MINC","9.0"
"W03Z","ABDOMINAL PR MULT SIG TRAUMA","9.0"
"W04A","MULT SIG TRAUMA+OTH GI,MAJC","9.0"
"W04B","MULT SIG TRAUMA+OTH GI,MINC","9.0"
"W60Z","MULT SIG TRAUMA, TRAN<5D","9.0"
"W61A","MULT SIG TRAUMA -GI, MAJC","9.0"
"W61B","MULT SIG TRAUMA -GI, MINC","9.0"
"X02A","MVSCLR TT/SKN GR INJ HAND,MAJC","9.0"
"X02B","MVSCLR TT/SKN GR INJ HAND,MINC","9.0"
"X04A","OTH PR INJURIES LWR LIMB, MAJC","9.0"
"X04B","OTH PR INJURIES LWR LIMB, MINC","9.0"
"X05A","OTH PR FOR INJ TO HAND, MAJC","9.0"
"X05B","OTH PR FOR INJ TO HAND, MINC","9.0"
"X06A","OTH PR FOR OTH INJURIES, MAJC","9.0"
"X06B","OTH PR FOR OTH INJURIES, INTC","9.0"
"X06C","OTH PR FOR OTH INJURIES, MINC","9.0"
"X07A","SKIN GRAFT, INJ EXCL HAND,MAJC","9.0"
"X07B","SKIN GRAFT, INJ EXCL HAND,INTC","9.0"
"X07C","SKIN GRAFT, INJ EXCL HAND,MINC","9.0"
"X40A","INJ,POIS,TOX EF+VENT SUPP,MAJC","9.0"
"X40B","INJ,POIS,TOX EF+VENT SUPP,MINC","9.0"
"X60A","INJURIES, MAJC","9.0"
"X60B","INJURIES, MINC","9.0"
"X61A","ALLERGIC REACTIONS, MAJC","9.0"
"X61B","ALLERGIC REACTIONS, MINC","9.0"
"X62A","POISON/TOXIC EFF DRUGS, MAJC","9.0"
"X62B","POISON/TOXIC EFF DRUGS, MINC","9.0"
"X63A","SEQUELAE OF TREATMENT, MAJC","9.0"
"X63B","SEQUELAE OF TREATMENT, MINC","9.0"
"X64A","OTH INJ,POIS&TOXIC EFFCTS,MAJC","9.0"
"X64B","OTH INJ,POIS&TOXIC EFFCTS,INTC","9.0"
"X64C","OTH INJ,POIS&TOXIC EFFCTS,MINC","9.0"
"Y01Z","VENT/TRACH/GI SEV BURN","9.0"
"40.34-N","Early Intervention – Anxiety","5.0"
"40.34-P","Mental Health Promotion","5.0"
"40.34-Q","Emergency/acute – clinical/social","5.0"
"40.34-R","Rehabilitation – Clinical","5.0"
"40.34-S","Rehabilitation – Social","5.0"
"40.34-U","Extended – Social","5.0"
"40.34-V","Mental Illness Prevention","5.0"
"40.34-W","Non-acute – clinical/social","5.0"
"009","Adm_T2_Poisoning","1.3"
"010","Adm_T2_Injury","1.3"
"011","Adm_T2_GastroSys Illness","1.3"
"012","Adm_T2_RespSys Illness","1.3"
"014","Adm_T2_Neurological illness","1.3"
"015","Adm_T2_Toxic effects of drugs","1.3"
"016","Adm_T2_Circulatory system illness","1.3"
"017","Adm_T2_All other MDB groups","1.3"
"019","Adm_T3_Blood/Imm syst illness","1.3"
"020","Adm_T3_Injury","1.3"
"021","Adm_T3_Neurological illness","1.3"
"022","Adm_T3_Obstetric/Gynaecological illness","1.3"
"023","Adm_T3_Gastrointestinal system illness","1.3"
"024","Adm_T3_Circulatory system illness","1.3"
"025","Adm_T3_Poisoning/Toxic effects of drugs","1.3"
"M01A","MAJOR MALE PELVIC PROCS, MAJC","9.0"
"M01B","MAJOR MALE PELVIC PROCS, MINC","9.0"
"M02A","TRANSURTH PROSTMY,REP DIS,MAJC","9.0"
"M02B","TRANSURTH PROSTMY,REP DIS,MINC","9.0"
"M03A","PENIS PROCEDURES, MAJC","9.0"
"N62B","MNSTRL&OTH FEM REPR DIS, MINC","9.0"
"O01A","CAESAREAN DELIVERY, MAJC","9.0"
"O01B","CAESAREAN DELIVERY, INTC","9.0"
"O01C","CAESAREAN DELIVERY, MINC","9.0"
"O02A","VAGINAL DELIVERY +GI, MAJC","9.0"
"O02B","VAGINAL DELIVERY +GI, MINC","9.0"
"O03Z","ECTOPIC PREGNANCY","9.0"
"O04A","POSTPARTUM&POST ABORTN+GI,MAJC","9.0"
"O04B","POSTPARTUM&POST ABORTN+GI,MINC","9.0"
"O05Z","ABORTION WITH GI","9.0"
"O60A","VAGINAL DELIVERY, MAJC","9.0"
"O60B","VAGINAL DELIVERY, INTC","9.0"
"O60C","VAGINAL DELIVERY, MINC","9.0"
"O61A","POSTPART&POST ABORTN -GI, MAJC","9.0"
"O61B","POSTPART&POST ABORTN -GI, MINC","9.0"
"O63A","ABORTION W/O GI, MAJC","9.0"
"O63B","ABORTION W/O GI, MINC","9.0"
"O66A","ANTENATAL&OTH OBS ADM, MAJC","9.0"
"O66B","ANTENATAL&OTH OBS ADM, INTC","9.0"
"O66C","ANTENATAL&OTH OBS ADM, MINC","9.0"
"P01Z","NEONATE W SIG GI/VENT, D/TR<5D","9.0"
"P02Z","NEO,CARDIOTHORACIC/VASCULAR PR","9.0"
"P03A","NEO,ADMWT 1000-1499G+GI/V,MAJC","9.0"
"P03B","NEO,ADMWT 1000-1499G+GI/V,MINC","9.0"
"P04A","NEO,ADMWT 1500-1999G+GI/V,MAJC","9.0"
"P04B","NEO,ADMWT 1500-1999G+GI/V,MINC","9.0"
"P05A","NEO,ADMWT 2000-2499G+GI/V,MAJC","9.0"
"P05B","NEO,ADMWT 2000-2499G+GI/V,MINC","9.0"
"P06A","NEO,ADMWT >=2500G+GI/VENT,MAJC","9.0"
"P06B","NEO,ADMWT >=2500G+GI/VENT,MINC","9.0"
"P07Z","NEONATE, ADMWT <750G +GI","9.0"
"P08Z","NEONATE, ADMWT 750-999G +GI","9.0"
"P60A","NEONATE -GI/V, D/TR<5D, MAJC","9.0"
"P60B","NEONATE -GI/V, D/TR<5D, MINC","9.0"
"P61Z","NEONATE, ADMWT <750G -GI","9.0"
"P62A","NEO, ADMWT 750-999G -GI, MAJC","9.0"
"P62B","NEO, ADMWT 750-999G -GI, MINC","9.0"
"P63A","NEO,ADMWT 1000-1249G-GI/V,MAJC","9.0"
"P63B","NEO,ADMWT 1000-1249G-GI/V,MINC","9.0"
"P64A","NEO,ADMWT 1250-1499G-GI/V,MAJC","9.0"
"P64B","NEO,ADMWT 1250-1499G-GI/V,MINC","9.0"
"P65A","NEO,ADMWT 1500-1999G-GI/V,EXTC","9.0"
"P65B","NEO,ADMWT 1500-1999G-GI/V,MAJC","9.0"
"P65C","NEO,ADMWT 1500-1999G-GI/V,INTC","9.0"
"P65D","NEO,ADMWT 1500-1999G-GI/V,MINC","9.0"
"P66A","NEO,ADMWT 2000-2499G-GI/V,EXTC","9.0"
"P66B","NEO,ADMWT 2000-2499G-GI/V,MAJC","9.0"
"P66C","NEO,ADMWT 2000-2499G-GI/V,INTC","9.0"
"P66D","NEO,ADMWT 2000-2499G-GI/V,MINC","9.0"
"P67A","NEO,WT>=2500G-GI/V,<37WKS,EXTC","9.0"
"P67B","NEO,WT>=2500G-GI/V,<37WKS,MAJC","9.0"
"P67C","NEO,WT>=2500G-GI/V,<37WKS,INTC","9.0"
"P67D","NEO,WT>=2500G-GI/V,<37WKS,MINC","9.0"
"P68A","NEO,W>=2500G-GI/V,>=37WKS,EXTC","9.0"
"P68B","NEO,W>=2500G-GI/V,>=37WKS,MAJC","9.0"
"P68C","NEO,W>=2500G-GI/V,>=37WKS,INTC","9.0"
"P68D","NEO,W>=2500G-GI/V,>=37WKS,MINC","9.0"
"Q01Z","SPLENECTOMY","9.0"
"Q02A","BLD&IMM SYS DIS+OTH GI,MAJC","9.0"
"Q02B","BLD&IMM SYS DIS+OTH GI,MINC","9.0"
